04/01/2019,Mon,04:29,11.12,339,H
04/01/2019,Mon,10:40,4.91,150,L
04/01/2019,Mon,15:39,9.09,277,H
04/01/2019,Mon,21:56,1.61,49,L
04/02/2019,Tue,04:52,11.17,340,H
04/02/2019,Tue,11:05,4.26,130,L
04/02/2019,Tue,16:25,9.48,289,H
04/02/2019,Tue,22:35,1.76,54,L
04/03/2019,Wed,05:12,11.22,342,H
04/03/2019,Wed,11:27,3.55,108,L
04/03/2019,Wed,17:06,9.85,300,H
04/03/2019,Wed,23:11,2.06,63,L
04/04/2019,Thu,05:32,11.29,344,H
04/04/2019,Thu,11:50,2.78,85,L
04/04/2019,Thu,17:45,10.18,310,H
04/04/2019,Thu,23:46,2.54,77,L
04/05/2019,Fri,05:54,11.36,346,H
04/05/2019,Fri,12:16,1.95,59,L
04/05/2019,Fri,18:24,10.48,319,H
04/06/2019,Sat,00:21,3.15,96,L
04/06/2019,Sat,06:19,11.37,347,H
04/06/2019,Sat,12:46,1.13,34,L
04/06/2019,Sat,19:05,10.73,327,H
04/07/2019,Sun,00:57,3.9,119,L
04/07/2019,Sun,06:45,11.31,345,H
04/07/2019,Sun,13:19,0.4,12,L
04/07/2019,Sun,19:49,10.92,333,H
04/08/2019,Mon,01:36,4.72,144,L
04/08/2019,Mon,07:13,11.15,340,H
04/08/2019,Mon,13:57,-0.18,-5,L
04/08/2019,Mon,20:37,10.99,335,H
04/09/2019,Tue,02:18,5.58,170,L
04/09/2019,Tue,07:44,10.88,332,H
04/09/2019,Tue,14:38,-0.52,-16,L
04/09/2019,Tue,21:30,10.95,334,H
04/10/2019,Wed,03:05,6.41,195,L
04/10/2019,Wed,08:19,10.51,320,H
04/10/2019,Wed,15:25,-0.62,-19,L
04/10/2019,Wed,22:31,10.82,330,H
04/11/2019,Thu,04:04,7.1,216,L
04/11/2019,Thu,09:02,10.05,306,H
04/11/2019,Thu,16:19,-0.49,-15,L
04/11/2019,Thu,23:42,10.74,327,H
04/12/2019,Fri,05:20,7.47,228,L
04/12/2019,Fri,10:01,9.53,290,H
04/12/2019,Fri,17:20,-0.24,-7,L
04/13/2019,Sat,01:00,10.84,330,H
04/13/2019,Sat,06:53,7.28,222,L
04/13/2019,Sat,11:21,9.12,278,H
04/13/2019,Sat,18:28,0,0,L
04/14/2019,Sun,02:08,11.13,339,H
04/14/2019,Sun,08:13,6.46,197,L
04/14/2019,Sun,12:48,9.05,276,H
04/14/2019,Sun,19:37,0.18,5,L
04/15/2019,Mon,03:00,11.49,350,H
04/15/2019,Mon,09:09,5.26,160,L
04/15/2019,Mon,14:09,9.39,286,H
04/15/2019,Mon,20:41,0.37,11,L
04/16/2019,Tue,03:40,11.84,361,H
04/16/2019,Tue,09:54,3.86,118,L
04/16/2019,Tue,15:20,9.97,304,H
04/16/2019,Tue,21:38,0.71,22,L
04/17/2019,Wed,04:16,12.11,369,H
04/17/2019,Wed,10:35,2.42,74,L
04/17/2019,Wed,16:23,10.58,322,H
04/17/2019,Wed,22:30,1.29,39,L
04/18/2019,Thu,04:49,12.28,374,H
04/18/2019,Thu,11:15,1.06,32,L
04/18/2019,Thu,17:21,11.1,338,H
04/18/2019,Thu,23:19,2.12,65,L
04/19/2019,Fri,05:21,12.31,375,H
04/19/2019,Fri,11:55,-0.09,-3,L
04/19/2019,Fri,18:16,11.49,350,H
04/20/2019,Sat,00:07,3.12,95,L
04/20/2019,Sat,05:55,12.17,371,H
04/20/2019,Sat,12:34,-0.91,-28,L
04/20/2019,Sat,19:10,11.71,357,H
04/21/2019,Sun,00:54,4.17,127,L
04/21/2019,Sun,06:29,11.82,360,H
04/21/2019,Sun,13:14,-1.35,-41,L
04/21/2019,Sun,20:04,11.77,359,H
04/22/2019,Mon,01:44,5.18,158,L
04/22/2019,Mon,07:05,11.29,344,H
04/22/2019,Mon,13:56,-1.4,-43,L
04/22/2019,Mon,20:58,11.69,356,H
04/23/2019,Tue,02:38,6.03,184,L
04/23/2019,Tue,07:44,10.58,322,H
04/23/2019,Tue,14:38,-1.09,-33,L
04/23/2019,Tue,21:54,11.49,350,H
04/24/2019,Wed,03:39,6.67,203,L
04/24/2019,Wed,08:27,9.77,298,H
04/24/2019,Wed,15:24,-0.48,-15,L
04/24/2019,Wed,22:54,11.23,342,H
04/25/2019,Thu,04:55,6.98,213,L
04/25/2019,Thu,09:18,8.91,272,H
04/25/2019,Thu,16:14,0.29,9,L
04/26/2019,Fri,00:00,11.01,336,H
04/26/2019,Fri,06:35,6.82,208,L
04/26/2019,Fri,10:23,8.15,248,H
04/26/2019,Fri,17:11,1.09,33,L
04/27/2019,Sat,01:06,10.88,332,H
04/27/2019,Sat,08:00,6.2,189,L
04/27/2019,Sat,11:44,7.66,233,H
04/27/2019,Sat,18:15,1.79,55,L
04/28/2019,Sun,02:01,10.87,331,H
04/28/2019,Sun,08:54,5.4,165,L
04/28/2019,Sun,13:08,7.59,231,H
04/28/2019,Sun,19:21,2.29,70,L
04/29/2019,Mon,02:44,10.91,333,H
04/29/2019,Mon,09:31,4.56,139,L
04/29/2019,Mon,14:24,7.92,241,H
04/29/2019,Mon,20:21,2.66,81,L
04/30/2019,Tue,03:16,10.97,334,H
04/30/2019,Tue,10:00,3.71,113,L
04/30/2019,Tue,15:25,8.45,258,H
04/30/2019,Tue,21:13,3,91,L
05/01/2019,Wed,03:43,11.04,336,H
05/01/2019,Wed,10:24,2.81,86,L
05/01/2019,Wed,16:16,9.06,276,H
05/01/2019,Wed,21:58,3.4,104,L
05/02/2019,Thu,04:08,11.12,339,H
05/02/2019,Thu,10:47,1.87,57,L
05/02/2019,Thu,17:01,9.66,294,H
05/02/2019,Thu,22:38,3.91,119,L
05/03/2019,Fri,04:32,11.18,341,H
05/03/2019,Fri,11:12,0.9,27,L
05/03/2019,Fri,17:42,10.25,312,H
05/03/2019,Fri,23:18,4.49,137,L
05/04/2019,Sat,04:58,11.2,341,H
05/04/2019,Sat,11:41,-0.05,-2,L
05/04/2019,Sat,18:23,10.79,329,H
05/04/2019,Sat,23:57,5.11,156,L
05/05/2019,Sun,05:25,11.16,340,H
05/05/2019,Sun,12:13,-0.9,-27,L
05/05/2019,Sun,19:05,11.24,343,H
05/06/2019,Mon,00:39,5.73,175,L
05/06/2019,Mon,05:54,11.05,337,H
05/06/2019,Mon,12:49,-1.56,-48,L
05/06/2019,Mon,19:49,11.58,353,H
05/07/2019,Tue,01:23,6.31,192,L
05/07/2019,Tue,06:27,10.86,331,H
05/07/2019,Tue,13:29,-1.96,-60,L
05/07/2019,Tue,20:37,11.77,359,H
05/08/2019,Wed,02:11,6.79,207,L
05/08/2019,Wed,07:03,10.55,322,H
05/08/2019,Wed,14:13,-2.05,-62,L
05/08/2019,Wed,21:29,11.8,360,H
05/09/2019,Thu,03:06,7.13,217,L
05/09/2019,Thu,07:46,10.11,308,H
05/09/2019,Thu,15:01,-1.81,-55,L
05/09/2019,Thu,22:26,11.73,358,H
05/10/2019,Fri,04:10,7.24,221,L
05/10/2019,Fri,08:40,9.53,290,H
05/10/2019,Fri,15:55,-1.28,-39,L
05/10/2019,Fri,23:27,11.66,355,H
05/11/2019,Sat,05:28,6.96,212,L
05/11/2019,Sat,09:50,8.89,271,H
05/11/2019,Sat,16:54,-0.53,-16,L
05/12/2019,Sun,00:28,11.67,356,H
05/12/2019,Sun,06:50,6.16,188,L
05/12/2019,Sun,11:17,8.4,256,H
05/12/2019,Sun,17:59,0.33,10,L
05/13/2019,Mon,01:23,11.78,359,H
05/13/2019,Mon,07:57,4.92,150,L
05/13/2019,Mon,12:49,8.32,254,H
05/13/2019,Mon,19:07,1.19,36,L
05/14/2019,Tue,02:10,11.95,364,H
05/14/2019,Tue,08:50,3.42,104,L
05/14/2019,Tue,14:16,8.72,266,H
05/14/2019,Tue,20:13,2.04,62,L
05/15/2019,Wed,02:51,12.11,369,H
05/15/2019,Wed,09:34,1.86,57,L
05/15/2019,Wed,15:32,9.43,287,H
05/15/2019,Wed,21:14,2.89,88,L
05/16/2019,Thu,03:28,12.21,372,H
05/16/2019,Thu,10:14,0.4,12,L
05/16/2019,Thu,16:37,10.23,312,H
05/16/2019,Thu,22:10,3.77,115,L
05/17/2019,Fri,04:02,12.19,372,H
05/17/2019,Fri,10:53,-0.81,-25,L
05/17/2019,Fri,17:36,10.96,334,H
05/17/2019,Fri,23:03,4.64,141,L
05/18/2019,Sat,04:36,12.02,366,H
05/18/2019,Sat,11:31,-1.69,-52,L
05/18/2019,Sat,18:28,11.53,351,H
05/18/2019,Sat,23:54,5.44,166,L
05/19/2019,Sun,05:11,11.69,356,H
05/19/2019,Sun,12:08,-2.18,-66,L
05/19/2019,Sun,19:18,11.9,363,H
05/20/2019,Mon,00:45,6.11,186,L
05/20/2019,Mon,05:47,11.21,342,H
05/20/2019,Mon,12:47,-2.3,-70,L
05/20/2019,Mon,20:05,12.08,368,H
05/21/2019,Tue,01:37,6.6,201,L
05/21/2019,Tue,06:25,10.61,323,H
05/21/2019,Tue,13:26,-2.08,-63,L
05/21/2019,Tue,20:51,12.09,369,H
05/22/2019,Wed,02:32,6.89,210,L
05/22/2019,Wed,07:05,9.92,302,H
05/22/2019,Wed,14:07,-1.59,-48,L
05/22/2019,Wed,21:37,11.96,365,H
05/23/2019,Thu,03:31,6.98,213,L
05/23/2019,Thu,07:51,9.18,280,H
05/23/2019,Thu,14:50,-0.88,-27,L
05/23/2019,Thu,22:24,11.75,358,H
05/24/2019,Fri,04:40,6.84,208,L
05/24/2019,Fri,08:43,8.43,257,H
05/24/2019,Fri,15:35,-0.02,-1,L
05/24/2019,Fri,23:12,11.52,351,H
05/25/2019,Sat,05:57,6.42,196,L
05/25/2019,Sat,09:47,7.74,236,H
05/25/2019,Sat,16:25,0.93,28,L
05/26/2019,Sun,00:00,11.33,345,H
05/26/2019,Sun,07:08,5.74,175,L
05/26/2019,Sun,11:04,7.25,221,H
05/26/2019,Sun,17:20,1.91,58,L
05/27/2019,Mon,00:45,11.21,342,H
05/27/2019,Mon,08:00,4.86,148,L
05/27/2019,Mon,12:28,7.11,217,H
05/27/2019,Mon,18:20,2.84,87,L
05/28/2019,Tue,01:27,11.17,340,H
05/28/2019,Tue,08:39,3.88,118,L
05/28/2019,Tue,13:51,7.39,225,H
05/28/2019,Tue,19:21,3.67,112,L
05/29/2019,Wed,02:03,11.17,340,H
05/29/2019,Wed,09:09,2.82,86,L
05/29/2019,Wed,15:04,8.03,245,H
05/29/2019,Wed,20:21,4.42,135,L
05/30/2019,Thu,02:36,11.2,341,H
05/30/2019,Thu,09:37,1.71,52,L
05/30/2019,Thu,16:04,8.83,269,H
05/30/2019,Thu,21:15,5.09,155,L
05/31/2019,Fri,03:06,11.22,342,H
05/31/2019,Fri,10:05,0.58,18,L
05/31/2019,Fri,16:54,9.68,295,H
05/31/2019,Fri,22:04,5.7,174,L
06/01/2019,Sat,03:36,11.24,343,H
06/01/2019,Sat,10:35,-0.52,-16,L
06/01/2019,Sat,17:39,10.47,319,H
06/01/2019,Sat,22:51,6.26,191,L
06/02/2019,Sun,04:06,11.24,343,H
06/02/2019,Sun,11:08,-1.51,-46,L
06/02/2019,Sun,18:21,11.17,340,H
06/02/2019,Sun,23:36,6.72,205,L
06/03/2019,Mon,04:38,11.2,341,H
06/03/2019,Mon,11:45,-2.32,-71,L
06/03/2019,Mon,19:04,11.73,358,H
06/04/2019,Tue,00:23,7.06,215,L
06/04/2019,Tue,05:14,11.11,339,H
06/04/2019,Tue,12:25,-2.86,-87,L
06/04/2019,Tue,19:48,12.12,369,H
06/05/2019,Wed,01:12,7.26,221,L
06/05/2019,Wed,05:54,10.91,333,H
06/05/2019,Wed,13:09,-3.07,-94,L
06/05/2019,Wed,20:34,12.35,376,H
